Πλατων Διονυσιῳ εὐ πραττεινδιατριψας ἐγω παρʼ ὑμιν χρονον τοσουτον και διοικων την ὑμετεραν ἀρχην πεπιστευμενος παντων μαλιστα τας ὠφελιας ὑμων λαμβανοντων τας διαβολας δυσχερεις οὐσας ὑπεμενον	036
ᾐδη γαρ ὁτι των ὠμοτερων οὐδεν ἐμου συνεθελοντος ὑμιν δοξει πεπραχθαι	036
παντες γαρ οἱ συμπολιτευομενοι μεθʼ ὑμων ὑπαρχουσι μοι μαρτυρες ὡν ἐγω πολλοις συνηγωνισαμην ἀπολυσας αὐτους οὐ σμικρας ζημιας	036
αὐτοκρατωρ δε πολλακις την ὑμετεραν πολιν διαφυλαξας ἀπεπεμφθην ἀτιμοτερον ἠ πτωχον ὑμων ἀποστελλοντων προσηκει και κελευοντων ἐκπλευσαι τοσουτον παρʼ ὑμιν διατριψαντα χρονον	036
ἐγω μεν οὐν περι ἐμαυτου βουλευσομαι το λοιπον τροπον ἀπανθρωποτερον συ δε τοιουτος ὠν τυραννος οἰκησεις μονος	036
το δε χρυσιον το λαμπρον ὁπερ ἐδωκας εἰς ἀποστολην ἀγει σοι Βακχειος ὁ την ἐπιστολην φερων	036
οὐτε γαρ ἐφοδιον ἐκεινο γʼ ἠν ἱκανον οὐτε προς τον ἀλλον βιον συμφερον ἀδοξιαν δε πλειστην τῳ διδοντι σοι παρασκευαζον οὐ πολλῳ δε ἐλαττω κἀμοι λαμβανοντι διοπερ οὐ λαμβανω	036
σοι δʼ οὐδεν διαφερει δηλον ὁτι και λαβειν και δουναι τοσουτον ὡστε κομισαμενος ἀλλον τινα των ἑταιρων θεραπευσον ὡσπερ ἐμε	036
κἀγω γαρ ἱκανως ὑπο σου τεθεραπευμαι	036
και μοι το του Εὐριπιδου κατα καιρον ἐστιν εἰπειν ὁτι σοι πραγματων ἀλλων ποτε συμπεσοντων—εὐξῃ τοιουτον ἀνδρα σοι παρεσταναι	036
ὑπομνησαι δε σε βουλομαι διοτι και των ἀλλων τραγῳδοποιων οἱ πλειστοι ὁταν ὑπο τινος ἀποθνῃσκοντα τυραννον εἰσαγωσιν ἀναβοωντα ποιουσιν— φιλων ἐρημος ὠ ταλας ἀπολλυμαι	036
χρυσιου δε σπανει ἀπολλυμενον οὐδεις πεποιηκεν	036
κἀκεινο δε το ποιημα τοις νουν ἐχουσιν οὐ κακως ἐχειν δοκει— οὐ χρυσος ἀγλαος σπανιωτατος ἐν θνατων δυσελπι στῳ βιῳ οὐδʼ ἀδαμας οὐδʼ ἀργυρου κλιναι προς ἀνθρωπον δοκιμαζομενʼ ἀστραπτει προς ὀψεις	036
οὐδε γαιας εὐρυπεδου γονιμοι βριθοντες αὐταρκεις γυαι ὡς ἀγαθων ἀνδρων ὁμοφραδμων νοησις	036
ἐρρωσο και γιγνωσκε τοσουτον ἡμων διημαρτηκως ἱνα προς τους ἀλλους βελτιον προσφερῃ	036
Πλατων Διονυσιῳ εὐ πραττεινἠκουσα Ἀρχεδημου ὁτι συ ἡγῃ χρηναι περι σου μη μονον ἐμε ἡσυχιαν ἀγειν ἀλλα και τους ἐμους ἐπιτηδειους του φλαυρον τι ποιειν ἠ λεγειν περι σε	036
οὑτος δε ὁ λογος σημαινει το Διωνα ἐξαιρετον εἰναι ὁτι οὐκ ἀρχω ἐγω των ἐμων ἐπιτηδειων	036
